question,evolution_type
What are the fundamental rights under the Kenyan Constitution?,manual
How does the Land Registration Act govern title deeds?,manual
What is the Law of Succession Act's provision on intestate succession?,manual
What are directors' duties under the Companies Act?,manual
How does the Constitution protect against discrimination?,manual
What remedies exist for fraudulent land transfers?,manual
How are employment disputes resolved under Kenyan law?,manual
What is the process for company registration in Kenya?,manual
How does the law protect workers' safety and health?,manual
What are the constitutional requirements for fair administrative action?,manual
What is the holding in the Sirikwa Squatters case?,manual
How are land disputes resolved in Kenya?,manual
What is the process for obtaining a grant of probate?,manual
What constitutes breach of fiduciary duty by directors?,manual
What are the elements of theft under the Penal Code?,manual
How does the law address unfair dismissal?,manual
What powers does the President have under Article 132?,manual
How does the Community Land Act protect community land?,manual
What are employee rights under the Employment Act?,manual
How does the law regulate mergers and acquisitions?,manual
