question,evolution_type
What are the fundamental rights and freedoms guaranteed under Chapter Four of the Kenyan Constitution?,manual_expert
How does Article 10 of the Constitution define national values and principles of governance?,manual_expert
What is the constitutional process for impeachment of the President under Article 145?,manual_expert
How does the Constitution protect the independence of the Judiciary under Article 160?,manual_expert
What are the constitutional requirements for devolution of government under Chapter Eleven?,manual_expert
How does Article 43 address economic and social rights in Kenya?,manual_expert
What is the role of the Supreme Court in constitutional interpretation under Article 163?,manual_expert
How does the Constitution address land ownership and property rights under Article 40?,manual_expert
What was the Supreme Court's holding in the Sirikwa Squatters case regarding presidential land allocation powers?,manual_expert
How does the Land Registration Act 2012 govern the issuance and transfer of title deeds?,manual_expert
What legal remedies are available under Kenyan law for victims of fraudulent land transactions?,manual_expert
How does the doctrine of adverse possession operate under the Limitation of Actions Act?,manual_expert
What is the legal framework for community land rights under the Community Land Act 2016?,manual_expert
How are land disputes resolved through the Environment and Land Court?,manual_expert
"What protections exist against illegal evictions under the Prevention, Protection and Assistance to Internally Displaced Persons Act?",manual_expert
How does the Land Act 2012 address historical land injustices in Kenya?,manual_expert
What are the rules of intestate succession under Section 38 of the Law of Succession Act?,manual_expert
How does the Law of Succession Act define 'dependant' for purposes of succession claims?,manual_expert
What is the legal process for obtaining a grant of probate or letters of administration?,manual_expert
How are disputes among beneficiaries resolved under the Law of Succession Act?,manual_expert
What rights do surviving spouses have under Section 35 of the Law of Succession Act?,manual_expert
Can customary law override statutory succession provisions in Kenya?,manual_expert
What is the limitation period for filing succession claims under Section 47?,manual_expert
How are debts of the deceased handled in the succession process?,manual_expert
What are the statutory requirements for company incorporation under the Companies Act 2015?,manual_expert
How does Section 143 of the Companies Act define directors' fiduciary duties?,manual_expert
What remedies are available for minority shareholder oppression under Section 214?,manual_expert
How does the Companies Act address fraudulent trading and personal liability of directors?,manual_expert
What is the legal process for voluntary and compulsory company liquidation?,manual_expert
How are contracts enforced under the Kenyan Law of Contract Act?,manual_expert
What constitutes a breach of directors' duty of care and skill under Section 144?,manual_expert
How does the Competition Act 2010 regulate mergers and acquisitions in Kenya?,manual_expert
What are the essential elements of the offense of theft under Section 268 of the Penal Code?,manual_expert
How does the Penal Code distinguish between assault and battery?,manual_expert
What defenses are available to an accused person in a criminal trial under Kenyan law?,manual_expert
How do courts determine bail applications under Article 49(1)(h) of the Constitution?,manual_expert
What employee rights are protected under Section 5 of the Employment Act 2007?,manual_expert
How does the Employment Act define and address unfair termination under Section 45?,manual_expert
What constitutes sexual harassment in the workplace under the Employment Act?,manual_expert
How are employment disputes resolved through the Employment and Labour Relations Court?,manual_expert
